jane_eyre_01_f000001|Chapter 1 of Jane eyre. This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.|Chapter one of Jane eyre. This is there librivox recording. All librivox recordings are in the public domain. For more information or to volunteer please visit librivox dot org.
jane_eyre_01_f000002|Recording by Elisabeth Klett.|Recording by Elisabeth Klett.
jane_eyre_01_f000003|Jane eyre by Charlotte Bronte. Chapter 1.|Jane eyre by Charlotte Bronte. Chapter one.
jane_eyre_01_f000004|There was no possibility of taking a walk that day.|There was no possibility of taking a walk that day.
jane_eyre_01_f000005|We had been wandering, indeed, in the leafless shrubbery an hour in the morning;|We had been wandering, indeed, in the leafless shrubbery an hour in the morning;
jane_eyre_01_f000006|but since dinner Missis Reed, when there was no company, dined early the cold winter wind had brought with it clouds so sombre,|but since dinner Missis Reed, when there was no company, dined early the cold winter wind had brought with it clouds so sombre,
jane_eyre_01_f000007|and a rain so penetrating, that further out-door exercise was now out of the question.|and a rain so penetrating, that further out-door exercise was now out of the question.
jane_eyre_01_f000008|I was glad of it: I never liked long walks, especially on chilly afternoons: dreadful to me was the coming home in the raw twilight, with nipped fingers and toes,|I was glad of it: I never liked long walks, especially on chilly afternoons: dreadful to me was the coming home in the raw twilight, with nipped fingers and toes,
jane_eyre_01_f000009|and a heart saddened by the chidings of Bessie, the nurse, and humbled by the consciousness of my physical inferiority to Eliza, John, and Georgiana Reed.|and a heart saddened by the chidings of Bessie, the nurse, and humbled by the consciousness of my physical inferiority to Eliza, John, and Georgiana Reed.
jane_eyre_01_f000010|The said Eliza, John, and Georgiana were now clustered round their mama in the drawing-room:|The said Eliza, John, and Georgiana were now clustered round their mama in the drawing-room:
jane_eyre_01_f000011|she lay reclined on a sofa by the fireside, and with her darlings about her for the time neither quarrelling nor crying looked perfectly happy.|she lay reclined on a sofa by the fireside, and with her darlings about her for the time neither quarrelling nor crying looked perfectly happy.
jane_eyre_01_f000012|Me, she had dispensed from joining the group;|Me, she had dispensed from joining the group;
jane_eyre_01_f000013|saying, She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation,|saying, She regretted to be under the necessity of keeping me at a distance; but that until she heard from Bessie, and could discover by her own observation,
jane_eyre_01_f000014|that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner - something lighter,|that I was endeavouring in good earnest to acquire a more sociable and childlike disposition, a more attractive and sprightly manner - something lighter,
jane_eyre_01_f000015|franker, more natural, as it were - she really must exclude me from privileges intended only for contented, happy, little children.|franker, more natural, as it were - she really must exclude me from privileges intended only for contented, happy, little children.
jane_eyre_01_f000016|What does Bessie say I have done? I asked.|What does Bessie say I have done? I asked.
jane_eyre_01_f000017|Jane, I don't like cavillers or questioners; besides, there is something truly forbidding in a child taking up her elders in that manner.|Jane, I don't like cavillers or questioners; besides, there is something truly forbidding in a child taking up her elders in that manner.
jane_eyre_01_f000018|Be seated somewhere; and until you can speak pleasantly, remain silent.|Be seated somewhere; and until you can speak pleasantly, remain silent.
jane_eyre_01_f000019|A breakfast-room adjoined the drawing-room, I slipped in there.|A breakfast-room adjoined the drawing-room, I slipped in there.
jane_eyre_01_f000020|It contained a bookcase: I soon possessed myself of a volume, taking care that it should be one stored with pictures.|It contained a bookcase: I soon possessed myself of a volume, taking care that it should be one stored with pictures.
jane_eyre_01_f000021|I mounted into the window- seat: gathering up my feet, I sat cross-legged, like a Turk; and, having drawn the red moreen curtain nearly close, I was shrined in double retirement.|I mounted into the window- seat: gathering up my feet, I sat cross-legged, like a Turk; and, having drawn the red moreen curtain nearly close, I was shrined in double retirement.
jane_eyre_01_f000022|Folds of scarlet drapery shut in my view to the right hand; to the left were the clear panes of glass, protecting, but not separating me from the drear November day.|Folds of scarlet drapery shut in my view to the right hand; to the left were the clear panes of glass, protecting, but not separating me from the drear November day.
jane_eyre_01_f000023|At intervals, while turning over the leaves of my book, I studied the aspect of that winter afternoon.|At intervals, while turning over the leaves of my book, I studied the aspect of that winter afternoon.
jane_eyre_01_f000024|Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast.|Afar, it offered a pale blank of mist and cloud; near a scene of wet lawn and storm-beat shrub, with ceaseless rain sweeping away wildly before a long and lamentable blast.
jane_eyre_01_f000025|I returned to my book - Bewick's History of British Birds: the letterpress thereof I cared little for, generally speaking;|I returned to my book - Bewick's History of British Birds: the letterpress thereof I cared little for, generally speaking;
jane_eyre_01_f000026|and yet there were certain introductory pages that, child as I was, I could not pass quite as a blank.|and yet there were certain introductory pages that, child as I was, I could not pass quite as a blank.
jane_eyre_01_f000027|They were those which treat of the haunts of sea-fowl; of the solitary rocks and promontories by them only inhabited; of the coast of Norway,|They were those which treat of the haunts of sea-fowl; of the solitary rocks and promontories by them only inhabited; of the coast of Norway,
